Data Number,Codes,Site Name,Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites,Year of Pub.,Reference,Comments,,
421,,LSDA-66,-29.8,-8.4,-4155,,2,2,12,,0.93,,,11,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
422,,LSDA-67,-29.85,-9.4167,-3940,,2,2,21,,0.97,,,20,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
422,,AH-2X,5.0247,109.8314,,,2679,,35,,1.82,,,65,,1986,Thamrin1986; ASCOPE1986,Thamrin1986; ASCOPE1986,*,BHT
423,,LSDA-68,-29.8167,-10.3,-3735,,2,2,51,,0.96,,,49,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
424,,LSDA-69,-29.85,-11.1167,-3690,,2,2,50,,0.96,,,48,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
425,,LSDA-70,-29.9167,-11.9,-3400,,2,2,18,,0.96,,,17,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
426,,LSDA-71,-29.85,-12.7667,-3200,,2,2,50,,0.94,,,47,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
427,,LSDA-72B,-29.75,-14.1833,-3385,,2,2,48,,0.94,,,45,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
428,,LSDA-73,-29.8333,-14.85,-3735,,2,2,15,,0.94,,,14,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
429,,LSDA-74,-29.8333,-15.55,-3405,,2,2,32,,0.94,,,30,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
430,,LSDA-75,-27.3667,-12.5667,-3520,,2,2,99,,0.95,,,94,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
431,,LSDA-76,-27.45,-10.9333,-3580,,2,2,59,,0.95,,,56,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
432,,LSDA-77,-26.7833,-13.9,-2480,,1,1,75,,0.95,,,71,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
433,,LSDA-78,-25.9667,-14.85,-3785,,1,1,44,,0.95,,,42,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
